;Amitabh Bachchan;Shakti Kapoor;Anil Dhawan;Mohan Joshi;Nana Patekar;Akshay Kumar;Jackie Shroff;Mithun Chakraborty;Manoj Bajpayee;Deepti Naval;Yogeeta Bali;Rati Agnihotri;Dharmendra;Mehmood;Moushumi Chatterjee;Dinesh Hingoo;Prem Chopra;Anil Kapoor;Jimmy Shergill;Shatrughan Sinha;Amrish Puri;Shashi Kapoor;Danny Denzongpa;Arjun;Tabu;Zeenat Aman;Birbal;Sunil Shetty;Vijayendra Ghatge;Raj Babbar;Satyendra Kapoor;Bharat Kapoor;Divya Dutta;Dimple Kapadia;Rajesh Khanna;Jaya Prada;Helen;Ishrat Ali;Ashok Kumar;Girish Karnad;Sadashiv Amrapurkar;Sanjay Dutt;Pran;Iftekhar;Alok Nath;Reena Roy;Saif Ali Khan;Aamir Khan;Rakesh Bedi;Rita Bhaduri;Jagdeep;Hemant Birje;Suresh Oberoi;Sujit Kumar;Arun Bakshi;Paresh Rawal;Seema Biswas;Sunny Deol;Bharat Bhushan;Milind Gunaji;Kader Khan;Hema Malini;Jaya Bhaduri;Sanjeev Kumar;Gulshan Grover;Ranjeet;Vikas Anand;Chandrashekhar;Asrani;Ajit;Aruna Irani;Shabana Azmi;Mohnish Bahl;Raza Murad;Rajinikanth;Dara Singh;Anupam Kher;Karisma Kapoor;Raj Kiran;Bindu;Beena Banerjee;Shammi Kapoor;Sridevi;Mohan Choti;Shreeram Lagoo;Ajay Devgn;Vinod Khanna;Farida Jalal;Aditya Pancholi;Salman Khan;Govinda;Rishi Kapoor;Rakhee Gulzar;Juhi Chawla;Kulbhushan Kharbanda;Shah Rukh Khan;Tom Alter;Master Bhagwan;Ramesh Deo;Rekha;Irrfan Khan;Vinod Mehra;Abhi Bhattacharya;Tanuja;Tinnu Anand;Kiran Kumar;Amjad Khan;Madhuri Dixit;Om Puri;Jeetendra;Naseeruddin Shah;Manisha Koirala;Raveena Tandon
Paresh Rawal;1;0;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;1;1;1;1;0;1;0;1;1;0;0;1;1;0;0;0;0;0;0;1;1;1;1;1;1
Seema Biswas;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
Sunny Deol;1;1;0;0;0;1;1;0;0;1;0;0;1;0;1;0;1;1;0;0;1;0;1;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;1;1;0;1;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;0;0;1;1;0;1;0;0;0;0;1;0;0;1;0;1;0;1;1;0;1;1;1
Bharat Bhushan;1;0;1;0;0;0;0;1;0;0;1;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;1;0;1;0;0;1;1;1;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;1;0;1;0;0;0
Milind Gunaji;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
Kader Khan;1;1;0;0;0;1;1;1;0;0;0;1;0;0;0;0;1;1;1;0;1;1;1;0;0;0;1;0;1;1;1;1;0;0;1;1;1;0;1;0;0;1;1;0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;1;1;0;1;1;1;1;0;0;1;1;0;0;1;1;0;1;1;1;0;1;1;0;0;0;0;1;0;1;0;0;0;1;1;1;1;1;0;0;1
Hema Malini;1;1;0;0;0;0;0;1;0;0;1;1;1;1;0;0;1;1;0;1;1;1;1;0;1;1;1;0;1;1;1;0;0;1;1;0;1;1;1;1;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;1;1;0;1;1;1;1;0;1;1;0;0;0;1;0;1;1;1;0;1;1;1;0;1;1;0;0
Jaya Bhaduri;1;0;1;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0
Sanjeev Kumar;1;1;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;0;0;1;0;1;1;0;0;1;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;1;0;1;1;1;0;0;1;0;0;1;0;0;0
Gulshan Grover;1;1;0;1;0;1;1;1;0;1;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;1;0;0;1;0;1;1;1;1;0;0;0;0;1;1;0;0;1;0;0;1;1;1;1;1;1;0;0;1;0;1;1;1;1;0;1;0;0;0;1;1;1;0;1;0;1;1;0;0;1;1;1;1;0;0;1;1;1;1;0;1;1;0;1;1;0;1;1;0;0;1;1;0;1;0;0;0;1;1;1;1;1;1;1;1;1
Ranjeet;0;1;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;1;0;1;1;1;1;0;1;0;0;0;0;1;0;1;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;1;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;1;0;1;1;1;1;1;0;0;0
